Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
Allegheny Center,1,870,93,184,59,128,51,56,35,0,10,56,35,686,79,529,81,157,53
Allegheny West,2,146,36,70,32,66,32,4,7,4,7,0,10,76,29,61,25,15,15
Allentown,3,1069,132.4575404,622,130.2344041,175,63.58458933,447,134.7182245,16,23.68543856,431,133.3604139,447,106.3860893,383,101.7103731,64,50.24937811
Arlington,4,701,104.4653052,394,78.319857,230,59.51470407,164,61.3025285,44,31.76476035,120,54.72659317,307,78.5684415,180,56.15158057,127,55.66866264
Arlington Heights,5,144,59,86,62,0,10,86,62,0,10,86,62,58,33,58,33,0,10
Banksville,6,1946,229.2225992,913,174.4219023,712,158.6820721,201,109.325203,104,90.27181177,97,65.93936609,1033,198.1236987,926,209.0980631,107,64.96152708
Bedford Dwellings,7,723,53,342,78,63,37,279,74,50,27,229,69,381,70,348,65,33,24
Beechview,8,3567,258.0271304,1929,213.3565092,1145,161.7188919,784,162.4530701,193,87.10912696,591,141.5132503,1638,232.3402677,1291,199.6121239,347,128.852629
Beltzhoover,9,848,156.0576816,379,102.6011696,169,87.41281371,210,75.5579248,31,32.44996148,179,71.16881339,469,138.2859357,411,130.3111661,58,57.26255321
Bloomfield,10,4571,205.4945255,1281,138.0289825,852,105.0523679,429,101.5086203,141,68.73863542,288,78.97467949,3290,209.8046711,2254,189.3488843,1036,145.9040781
Bluff,11,240,47,67,31.06444913,45,27.29468813,22,21.65640783,16,20,6,20,173,44.10215414,119,39.05124838,54,33.54101966
Bon Air,12,372,71,257,67,180,43,77,65,0,10,77,65,115,59,97,53,18,18
Brighton Heights,13,3222,192.2342321,1890,183.2702922,1226,139.4560863,664,142.4289296,223,95.84362264,441,114.6385624,1332,164.708834,1119,154.1719819,213,65.35288823
Brookline,14,5843,327.6949801,3376,302.8861172,2255,259.6035439,1121,210.6276335,327,121.8277472,794,180.7456777,2467,264.9207429,2093,244.1352084,374,143.2689778
California-Kirkbride,15,333,38,170,47,67,36,103,41,0,10,103,41,163,44,134,42,29,30
Carrick,16,4301,277.61304,2416,221.6867159,1587,180.0166659,829,161.2792609,81,51.02940329,748,156.8502471,1885,243.6390773,1484,213.9182087,401,137.1860051
Central Business District,17,1968,221.438479,415,116.2411287,361,108.6738239,54,40.54626987,34,35.19943181,20,29.8831056,1553,207.197973,1286,190.9869105,267,105.1332488
Central Lawrenceville,18,2338,171.5721423,941,125.9960317,638,106.691143,303,86.97700846,69,44.47471192,234,76.87002016,1397,172.9971098,911,137.0656777,486,117.7200068
Central Northside,19,1479,113.9298029,516,92.97849214,297,65.9241989,219,78.53661566,21,28.72281323,198,75.1598297,963,113.2828319,785,101.5726341,178,61.32699243
Central Oakland,20,1903,157.3975858,295,80.06872048,145,35.48239,150,78.71467462,100,69.49100661,50,34.78505426,1608,159.4678651,542,117.1067889,1066,147.4347313
Chartiers City,21,271,60,171,51,103,50,68,41,16,18,52,37,100,59,100,59,0,10
Chateau,22,3,3,0,10,0,10,0,10,0,10,0,10,3,3,3,3,0,10
Crafton Heights,23,1677,126.7951103,1031,115.8274579,569,93.1611507,462,100.3294573,67,41.83300133,395,91.73330911,646,101.9362546,505,93.9946807,141,58.93216439
Crawford-Roberts,24,1125,138.5929291,493,108.9036271,137,68.8839604,356,104.6613587,34,34.88552709,322,99.24716621,632,116.498927,587,116.498927,45,32.44996148
Duquesne Heights,25,1170,125.2078272,652,101.8626526,498,100.4091629,154,61.55485359,44,32.64965543,110,52.49761899,518,101.0198,376,82.21921916,142,75.59100476
East Allegheny,26,1302,155.0516043,352,96.5194281,216,71.40028011,136,73.57309291,42,32.01562119,94,65.76473219,950,150.6154043,772,134.9518433,178,85
East Carnegie,27,264,39,140,39,58,28,82,38,13,12,69,35,124,38,98,40,26,17
East Hills,28,1325,165.5083079,648,135.6023599,211,89.01123525,437,112.2229923,28,27,409,108.6738239,677,144.1492282,617,140.4741969,60,58.73670062
East Liberty,29,2902,249.2488716,1116,197.5955465,395,113.406349,721,172.8814623,98,73.25298629,623,166.6823326,1786,204.2963534,1522,203.5583454,264,81.38181615
Elliott,30,953,120.3702621,578,91.71150419,298,75.98684097,280,86.00581376,68,37.54996671,212,78.21764507,375,107.694011,325,104.0961094,50,32.83291032
Esplen,31,142,48,60,38,38,25,22,29,6,9,16,26,82,47,49,36,33,34
Fairywood,32,428,81,194,78,104,55,90,63,33,27,57,54,234,68,40,29,194,63
Fineview,33,624,108.9311709,396,95.77577982,203,84.90583019,193,59.61543424,21,30.6757233,172,57.7754273,228,60.21627687,211,60.80296045,17,13.41640787
Friendship,34,1074,122.0655562,350,116.8246549,240,102.6498904,110,76.4852927,0,14.14213562,110,76.4852927,724,130,579,119.9208072,145,67.89698079
Garfield,35,1571,116.9144987,883,100.1299156,333,65.96211034,550,88.98314447,76,48.35286961,474,81.92069336,688,97.54486147,535,84.74078121,153,64.54455825
Glen Hazel,36,241,80,127,78,17,28,110,72,0,10,110,72,114,57,101,55,13,19
Greenfield,37,3438,251.7081643,2043,237.0105483,1600,218.1261103,443,151.2580576,93,85.51608036,350,130.011538,1395,219.0045662,1060,200.5367797,335,128.7827628
Hays,38,185,43,113,41,37,21,76,39,13,12,63,38,72,33,72,33,0,10
Hazelwood,39,1870,201.8811532,1001,173.6202753,519,120.8883783,482,137.2443077,78,48.64154603,404,129.0387539,869,152.7972513,763,138.6217876,106,75.59100476
Highland Park,40,2977,243.9733592,1547,216.0856312,1163,197.5980769,384,149.5727248,106,88.24964589,278,122.2988144,1430,213.8621051,1169,205.7547083,261,97.30878686
Homewood North,41,1210,129.645671,855,122.0655562,305,80.44252607,550,104.6374694,106,62.16912417,444,98.94948206,355,84.07734534,332,83.86894539,23,37.05401463
Homewood South,42,1082,116.9016681,489,90.70832376,127,44.20407221,362,89.05616206,24,22.56102835,338,87.12060606,593,90.59249417,552,85.92438536,41,38.49675311
Homewood West,43,392,75.00666637,145,48.27007354,70,24.16609195,75,44.65422712,7,14.14213562,68,43.829214,247,63.2455532,243,63.82005954,4,12.20655562
Knoxville,44,1510,218.7167118,985,201.1119091,416,134.4507345,569,174.5709025,52,46.5295605,517,173.7843491,525,151.4430586,495,150.797878,30,34.95711659
Larimer,45,652,91.7496594,332,73.25298629,97,46.40043103,235,60.44832504,22,25.21904043,213,56.30275304,320,77.8524245,312,77.4467559,8,17
Lincoln Place,46,1460,139.907112,952,141.5980226,648,115.2041666,304,111.2654484,105,65.95452979,199,91.82592227,508,101.2620363,455,99.15139938,53,35.7211422
Lincoln-Lemington-Belmar,47,1959,154.4668249,1081,142.495614,296,71.50524456,785,130.1729619,206,84.30302486,579,126.9881884,878,128.8836685,782,123.5151813,96,52.05766034
